法規名稱,維護單位,法規分類,最後修訂(民國),最後修訂(西元),存放路徑,原始檔名,來源網址,別名,狀態
輔英科技大學組織規程(含附表)（114.12.5核定本）,秘書室,綜合性法規(#A),114.12.5,2025-12-05,01_行政單位/02_校長室與秘書處/輔英科技大學組織規程(含附表)（114.12.5核定本）_law01001.pdf,law01001.pdf,https://ese.fy.edu.tw/var/file/57/1057/img/125/law01001.pdf,,已存在
輔英科技大學校務會議設置辦法,秘書室,綜合性法規(#A),112.1.11,2023-01-11,01_行政單位/02_校長室與秘書處/輔英科技大學校務會議設置辦法_law01003.pdf,law01003.pdf,https://ese.fy.edu.tw/var/file/57/1057/img/125/law01003.pdf,,已存在
輔英科技大學校務發展委員會設置辦法,秘書室,綜合性法規(#A),114.6.18,2025-06-18,01_行政單位/02_校長室與秘書處/輔英科技大學校務發展委員會設置辦法_law01004.pdf,law01004.pdf,https://ese.fy.edu.tw/var/file/57/1057/img/125/law01004.pdf,,已存在
輔英科技大學課程委員會設置辦法,教務處,綜合性法規(#A)；教務法規(#B),114.10.22,2025-10-22,01_行政單位/03_教務處/輔英科技大學課程委員會設置辦法_law01005.pdf,law01005.pdf,https://ese.fy.edu.tw/var/file/57/1057/img/125/law01005.pdf,,已存在
輔英科技大學通識教育委員會設置辦法,共同教育中心,綜合性法規(#A),114.6.18,2025-06-18,02_教學學術單位/05_共同教育中心/輔英科技大學通識教育委員會設置辦法_law01006.pdf,law01006.pdf,https://ese.fy.edu.tw/var/file/57/1057/img/125/law01006.pdf,,已存在
輔英科技大學招生委員會設置辦法,教務處,綜合性法規(#A)；教務法規(#B),110.10.13,2021-10-13,01_行政單位/03_教務處/輔英科技大學招生委員會設置辦法_law01007.pdf,law01007.pdf,https://ese.fy.edu.tw/var/file/57/1057/img/125/law01007.pdf,,已存在
輔英科技大學教師評審委員會設置辦法,人事室,綜合性法規(#A)；總務及環安衛法規(#D),115.7.1,2026-07-01,01_行政單位/09_人事室/輔英科技大學教師評審委員會設置辦法_law01008.pdf,law01008.pdf,https://ese.fy.edu.tw/var/file/57/1057/img/125/law01008.pdf,,已存在
輔英科技大學教師申訴評議委員會組織及評議要點,人事室,綜合性法規(#A)；總務及環安衛法規(#D),112.1.11,2023-01-11,01_行政單位/09_人事室/輔英科技大學教師申訴評議委員會組織及評議要點_law01009.pdf,law01009.pdf,https://ese.fy.edu.tw/var/file/57/1057/img/125/law01009.pdf,,已存在
輔英科技大學學生申訴評議辦法,學務處,綜合性法規(#A)；學務法規(#C),113.9.18,2024-09-18,01_行政單位/04_學生事務處/輔英科技大學學生申訴評議辦法_law01010.pdf,law01010.pdf,https://ese.fy.edu.tw/var/file/57/1057/img/125/law01010.pdf,,已存在
輔英科技大學職員工評審委員會設置要點,人事室,綜合性法規(#A)；總務及環安衛法規(#D),109.9.16,2020-09-16,01_行政單位/09_人事室/輔英科技大學職員工評審委員會設置要點_law01011.pdf,law01011.pdf,https://ese.fy.edu.tw/var/file/57/1057/img/125/law01011.pdf,,已存在
輔英科技大學職工申訴評議委員會組織及評議要點,人事室,綜合性法規(#A)；總務及環安衛法規(#D),100.11.2,2011-11-02,01_行政單位/09_人事室/輔英科技大學職工申訴評議委員會組織及評議要點_law01012.pdf,law01012.pdf,https://ese.fy.edu.tw/var/file/57/1057/img/125/law01012.pdf,,已存在
